direction,name,ingredients,url,products,crawl_time,prep_time,servings,img_url,description
"1  In a medium-size bowl or measuring cup, whisk together the vinegar, mustard, salt and pepper. While whisking, add oil in a thin stream until blended. Set aside.,2  Heat a medium-size pot of water to boiling. Add green beans and cook 4 minutes or until crisp-tender. Drain and rinse with cold water.,3  Tear basil into bite-size pieces. In a large bowl, toss basil, green beans, tomatoes, mozzarella, and the kidney and white beans. Whisk dressing, then drizzle over salad. Toss gently to coat and serve.",3-Bean Caprese Salad,"1/3,1,1/4,1/4,1/4,1/2,1,1 1/4,1/2,1,1,cup,tablespoon,teaspoon,teaspoon,cup,pound,cup,pounds,pound,can,can,balsamic vinegar,honey Dijon mustard,salt,pepper,extra-virgin olive oil,green beans, trimmed and cut into 1-inch pieces,loosely packed basil leaves,tomatoes, cored and chopped,fresh mozzarella, cut into 1/2-inch cubes,(15 ounces) red kidney beans, drained and rinsed,(15 ounces) small white beans, drained and rinsed",http://www.familycircle.com/recipe/vegetables/3-bean-caprese-salad/,"balsamic vinegar,honey Dijon mustard,salt,pepper,extra-virgin olive oil,green beans trimmed and cut into 1-inch pieces,loosely packed basil leaves,tomatoes cored and chopped,fresh mozzarella cut into 1/2-inch cubes,(15 ounces) red kidney beans drained and rinsed,(15 ounces) small white beans drained and rinsed",2017-03-23 15:43:12,20 mins,6 servings,http://images.meredith.com/bhg/images/recipe/p_R119168.jpg,  
"1  Heat oven to 425 degrees F. Coat 2 mini-muffin pans with nonstick cooking spray.,2  Blend cornmeal, flour, sugar, salt and baking powder in a large bowl.,3  Stir together eggs, oil, hot pepper sauce, milk, 1/2 cup of the cheese and  the corn in a small bowl. Stir into cornmeal mixture just until dry ingredients are moistened. Divide evenly among prepared muffin cups, 1/3 cup per indentation. Sprinkle muffins evenly with remaining cheese.,4  Bake at 425 degrees F for 15 to 17 minutes or until a wooden toothpick inserted in center comes out slightly moist with crumbs attached. Run a thin knife around edge of muffins and remove to a wire rack to cool. Serve slightly warm.",Corn Muffins,"1 1/4,1,1/4,1 1/4,2,2,1/4,1/4,1,1,1,cups,cup,cup,teaspoons,teaspoons,,cup,teaspoon,cup,cup,cup,cornmeal,all-purpose flour,sugar,salt,baking powder,eggs, lightly beaten,vegetable oil,hot-pepper sauce,milk,shredded pepper-Jack cheese (about 4 ounces),fresh corn kernels",http://www.familycircle.com/recipe/desserts/corn-muffins/,"cornmeal,all-purpose flour,sugar,salt,baking powder,eggs lightly beaten,vegetable oil,hot-pepper sauce,milk,shredded pepper-Jack cheese (about 4 ounces),fresh corn kernels",2017-03-23 15:43:18,15 mins,24 servings,http://images.meredith.com/bhg/images/recipe/p_R112860.jpg,  
"1  Trim spears, discarding tough ends. Peel ends of stalks if asparagus are very thick. Fill medium-size saucepan with 1 inch of water fitted with a steamer basket and place over high heat. When water boils, add asparagus and cover. Steam for 2 minutes or until crisp-tender. Drain and run under cool water; set aside. Can be made up to a day ahead; cover and refrigerate until ready to use.,2  Heat a small nonstick skillet over medium high. Add bacon and cook 2 to 3 minutes or until crispy. Remove bacon from skillet and drain on a paper towel-lined plate. Reserve bacon fat from skillet and set aside.,3  Add shrimp to skillet. Cook for 1 to 2 minutes per side, or until uniformly pink; remove and set aside.,4  In a small bowl, whisk reserved bacon fat (about 2-1/4 teaspoons), olive oil, vinegar, dried thyme, mustard, 1 tablespoon of the minced shallot, salt and pepper.,5  In a medium-size bowl, combine asparagus, bacon, shrimp and remaining shallot. Drizzle with dressing and toss to combine. Serve immediately.",shrimp & asparagus salad,"16,1,10,1,1 1/2,1/8,1/4,1,,,,teaspoon,teaspoons,teaspoon,teaspoon,,,,fresh asparagus spears (about 3/4 pound),strip bacon, cut into 1/4-inch pieces,medium-size shrimp, peeled and deveined,olive oil,red wine vinegar,dried thyme,Dijon mustard,shallot, minced,Pinch salt,Pinch black pepper",http://www.familycircle.com/recipe/salads/shrimp-asparagus-salad/,"fresh asparagus spears (about 3/4 pound),strip bacon cut into 1/4-inch pieces,medium-size shrimp peeled and deveined,olive oil,red wine vinegar,dried thyme,Dijon mustard,shallot minced,Pinch salt,Pinch black pepper",2017-03-23 15:43:26,10 mins,2 servings,http://images.meredith.com/bhg/images/recipe/p_R100381.jpg,  
"1  Place baking potatoes on paper towel in microwave oven. Microwave on 100 percent power for 16 to 18 minutes or until knife-tender, turning once. Remove potatoes; wrap each in foil. Let stand 5 minutes.,2  Meanwhile, heat large nonstick skillet over medium-high heat. Add ground beef; cook until no longer pink, 3 to 4 minutes. Sprinkle with Italian seasoning and 1/4 teaspoon of the salt. Add broccoli slaw; cook, stirring, until slaw is wilted, 3 to 4 minutes.,3  Meanwhile, in small bowl, whisk together Alfredo sauce, 1/2 cup of cheddar, the milk and nutmeg. Stir into beef mixture in skillet; cook until heated through and cheese is melted, 1 to 2 minutes. Remove from heat.,4  Heat broiler.,5  Unwrap potatoes, leaving foil in place. Slice potatoes in half lengthwise on top. Gently push ends to slightly open tops. Transfer potatoes in foil to baking sheet or broiler pan. Season with remaining 1/4 teaspoon salt and pepper. Scoop 3/4 cup of beef mixture into each split potato. Sprinkle each potato with about 2 tablespoons of remaining cheddar.,6  Broil stuffed potatoes 6 inches from heat until cheese melts and bubbles slightly, 2 to 3 minutes. Serve potatoes while still warm.",Beef and Broccoli Potatoes,"6,1,1/2,1/2,1,1,1 1/4,1/4,,pound,teaspoon,teaspoon,package,container,cups,cup,,,medium-size baking potatoes (about 3 pounds total), scrubbed and pierced with fork,ground beef,dried Italian herb seasoning,salt,(12 ounces) broccoli slaw,(10 ounces) refrigerated reduced-fat Alfredo sauce,shredded cheddar cheese,milk,Pinch ground nutmeg,Pinch freshly ground black pepper",http://www.familycircle.com/recipe/beef/beef-and-broccoli-potatoes/,"medium-size baking potatoes (about 3 pounds total) scrubbed and pierced with fork,ground beef,dried Italian herb seasoning,salt,(12 ounces) broccoli slaw,(10 ounces) refrigerated reduced-fat Alfredo sauce,shredded cheddar cheese,milk,Pinch ground nutmeg,Pinch freshly ground black pepper",2017-03-23 15:43:32,10 mins,6 servings,http://images.meredith.com/bhg/images/recipe/p_R075341.jpg,  
"1  In a food processor, combine parsley, shallot, garlic, vinegar, olive oil, 1/4 teaspoon each of the salt and pepper. Pulse until combined; set aside.,2  Heat a gas grill to medium-high heat or prepare a charcoal grill with medium-hot coals. Sprinkle remaining 1/4 teaspoon each salt and pepper over steak. Grill about 8 minutes per side.,3  Remove steak from grill and place in a glass baking dish; spread the sauce over top and cover dish with foil; allow to sit for 5 minutes. Remove steak from dish and slice. Serve with sauce remaining in baking dish and rice, if desired.",Beef & Chimichurri Sauce,"1,1,3,3,1/4,1/2,1,3,cup,,,tablespoons,cup,teaspoon,pound,cups,parsley leaves,shallot, coarsley chopped,cloves garlic, chopped,red wine vinegar,olive oil,each salt and black pepper,boneless beef top sirloin,prepared white rice (optional)",http://www.familycircle.com/recipe/beef/beef-chimichurri-sauce/,"parsley leaves,shallot coarsley chopped,cloves garlic chopped,red wine vinegar,olive oil,each salt and black pepper,boneless beef top sirloin,prepared white rice (optional)",2017-03-23 15:43:36,10 mins,4 servings,http://images.meredith.com/bhg/images/recipe/p_R115490.jpg,  
"1  Bring a large pot of salted water to a boil. Cook pasta according to package directions, about 12 minutes, reserving 1/4 cup of pasta water. Return pasta to pot.,2  Meanwhile, place garlic, roasted red peppers, onion, olive oil, capers, vinegar, Italian seasoning and tomato juice in a blender. Puree until smooth, then pour into a small saucepan. Stir in salt and pepper.,3  Simmer over medium heat for 5 minutes. Pour over pasta and stir to combine. Gently stir in tuna; serve immediately.",Bowties with Tuna,"12,2,1,1,1,1,1,1,1/2,1/4,1/4,3,ounces,,24,small,tablespoon,tablespoon,tablespoon,tablespoon,cup,teaspoon,teaspoon,6,bowtie pasta,garlic cloves, chopped,roasted red peppers, drained and chopped,onion, chopped,olive oil,capers,balsamic vinegar,Italian seasoning,tomato juice,salt,black pepper,albacore tuna packed in water, drained",http://www.familycircle.com/recipe/pasta/bowties-with-tuna/,"bowtie pasta,garlic cloves chopped,roasted red peppers drained and chopped,onion chopped,olive oil,capers,balsamic vinegar,Italian seasoning,tomato juice,salt,black pepper,albacore tuna packed in water drained",2017-03-23 15:43:54,15 mins,6 servings,http://images.meredith.com/bhg/images/recipe/p_R133470.jpg,  
"1  Microwave noodles for 1 minute; set aside. Place shrimp in a small bowl and toss with 2 tablespoons teriyaki sauce; set aside.,2  Place mixed vegetables and edamame in a large nonstick skillet with water. Cover and cook, stirring occasionally, over medium-high heat for 7 minutes or until cooked through.,3  Stir shrimp into vegetable mixture; cover and cook 4 to 5 minutes or until shrimp is pink and cooked through.,4  Stir together remaining 1 tablespoon teriyaki sauce and the cornstarch, then stir into the mixture in the skillet until thickened. Gently stir noodles into skillet and cook until warmed through.",Shrimp Lo Mein,"2,1,3,2,1,1/4,1,packages,pound,tablespoons,boxes,cup,cup,tablespoon,(8 ounces each) tofu spaghetti noodles (such as Shirataki), drained and rinsed thoroughly,medium-size frozen raw shrimp (31-40 count), thawed according to package directions,light teriyaki sauce,(9 ounces each) frozen Szechuan vegetable blend with sesame sauce (such as Birds Eye),frozen shelled edamame,water,cornstarch",http://www.familycircle.com/recipe/pasta/shrimp-lo-mein/,"(8 ounces each) tofu spaghetti noodles (such as Shirataki) drained and rinsed thoroughly,medium-size frozen raw shrimp (31-40 count) thawed according to package directions,light teriyaki sauce,(9 ounces each) frozen Szechuan vegetable blend with sesame sauce (such as Birds Eye),frozen shelled edamame,water,cornstarch",2017-03-23 15:43:57,10 mins,6 servings,http://images.meredith.com/bhg/images/recipe/p_R135449.jpg,  
"1  Cook ravioli according to package directions, about 9 minutes. Add spinach during final minute.,2  Meanwhile, heat a large nonstick skillet over medium-high heat. Coat skillet with nonstick cooking spray; add squash and zucchini to pan. Lightly coat squash mixture with nonstick spray. Cover and cook, stirring occasionally, for 6 to 7 minutes or until tender.,3  Drain pasta, reserving 1/2 cup pasta water; return pasta mixture to pot. Stir herb cheese into pasta mixture until well blended. Gently stir in squash, salt and pepper. Stir in pasta water by the tablespoonful if mixture becomes too dry.",Ravioli with Spinach & Squash,"2,1,2,1,1,1/2,1/2,9,6,7,8,4.4,teaspoon,teaspoon,light flour-cheese ravioli (such as Buitoni),baby spinach,yellow summer squash, cut into 1/4-inch-thick half moons,zucchini, cut into 1/4-inch-thick half moons,light spreadable herb cheese (such as Boursin Light Garlic and Herb Cheese),salt,black pepper",http://www.familycircle.com/recipe/pasta/ravioli-with-spinach-squash/,"light flour-cheese ravioli (such as Buitoni),baby spinach,yellow summer squash cut into 1/4-inch-thick half moons,zucchini cut into 1/4-inch-thick half moons,light spreadable herb cheese (such as Boursin Light Garlic and Herb Cheese),salt,black pepper",2017-03-23 15:44:05,10 mins,6 servings,http://images.meredith.com/bhg/images/recipe/p_R135450.jpg,  
"1  In a medium-size bowl, whisk together chicken broth, soy sauce, ginger, vinegar, sugar, cornstarch and chili paste. Set aside.,2  Heat the oil in a large nonstick skillet over medium-high heat. Add the chicken and cook for about 6 minutes, turning halfway through cooking, or until internal temperature reaches 160 degrees  on an instant-read thermometer. Remove to a plate and keep warm.,3  In the same skillet, add the chicken broth mixture. Bring to a simmer and add chicken and scallions. Stir to coat chicken with sauce and heat through, about 1 to 2 minutes.,4  Serve over brown rice with steamed broccoli on the side.",General Tso's Chicken,"1,2,1,2,2,2,1,2,1 1/2,2,2,1,cup,tablespoons,tablespoon,teaspoons,teaspoons,teaspoons,teaspoon,tablespoons,pounds,,cups,,chicken broth,low-sodium soy sauce,chopped fresh ginger,rice vinegar,sugar,cornstarch,Asian chili paste,canola oil,boneless, skinless chicken breast, cut into 1-1/2-inch pieces,scallions, trimmed and sliced,cooked brown rice,head fresh broccoli, steamed",http://www.familycircle.com/recipe/chicken/general-tsos-chicken/,"chicken broth,low-sodium soy sauce,chopped fresh ginger,rice vinegar,sugar,cornstarch,Asian chili paste,canola oil,boneless skinless chicken breast cut into 1-1/2-inch pieces,scallions trimmed and sliced,cooked brown rice,head fresh broccoli steamed",2017-03-23 15:44:13,15 mins,4 servings,http://images.meredith.com/bhg/images/recipe/p_R115458.jpg,  
"1  Sprinkle chicken with salt and pepper. Place flour in a shallow plate. Coat breasts on both sides; set aside.,2  Melt butter in a large nonstick skillet over medium-high heat. Add chicken to pan. Cook 5 minutes per side. Remove chicken to a platter; cover and keep warm.,3  Add shallots to pan. Cook, stirring, for 1 minute. Stir in wine, lemon juice and capers; bring to a simmer.,4  Return chicken to pan; spoon sauce on top. Reduce heat to medium. Cover partially; cook 5 minutes or until cooked through. Stir in parsley before serving.",Classic Chicken Piccata,"4,1/4,3,2,1,1/2,1/3,2,2,,teaspoon,tablespoons,tablespoons,,cup,cup,tablespoons,tablespoons,boneless, skinless chicken breasts (about 1-1/2 pounds),each salt and black pepper,flour,unsalted butter,large shallot, minced,white wine,fresh lemon juice,chopped capers,fresh parsley",http://www.familycircle.com/recipe/chicken/classic-chicken-piccata/,"boneless skinless chicken breasts (about 1-1/2 pounds),each salt and black pepper,flour,unsalted butter,large shallot minced,white wine,fresh lemon juice,chopped capers,fresh parsley",2017-03-23 15:44:18,10 mins,4 servings,http://images.meredith.com/bhg/images/recipe/p_R124770.jpg,  
